Day,Date,Holiday Name,Holiday Type,Is Holiday,Comments
Tuesday,20190101,Republic Day,National Holiday,true,
Saturday,20190119,Compensatory workday,Compensated,false,Makeup day for Lunar New Year Holiday
Saturday,20190202,Extended Weekend,Extended Weekend,true,Extended Weekend for Lunar New Year's Eve
Sunday,20190203,Extended Weekend,Extended Weekend,true,Extended Weekend for Lunar New Year's Eve
Monday,20190204,Lunar New Year's Eve,National Holiday,true,Day before 1st day of 1st lunar month
Tuesday,20190205,Lunar New Year,National Holiday,true,1st day of 1st lunar month
Wednesday,20190206,Lunar New Year Holiday,National Holiday,true,2nd day of 1st lunar month
Thursday,20190207,Lunar New Year Holiday,National Holiday,true,3rd day of 1st lunar month
Friday,20190208,Lunar New Year Holiday,National Holiday,true,4th day of 1st lunar month. Compensated by Saturday 19 January
Saturday,20190209,Extended Weekend,Extended Weekend,true,Extended Weekend for Lunar New Year Holiday
Sunday,20190210,Extended Weekend,Extended Weekend,true,Extended Weekend for Lunar New Year Holiday
Tuesday,20190219,Lantern Festival,Not A Public Holiday,false,15th Day of 1st lunar month
Saturday,20190223,Compensatory workday,Compensated,false,Makeup day for Peace Memorial Day Holiday
Thursday,20190228,Peace Memorial Day,National Holiday,true,
Friday,20190301,Peace Memorial Day Holiday,National Holiday,true,Compensated by Saturday 23 February
Saturday,20190302,Extended Weekend,Extended Weekend,true,Extended Weekend for Peace Memorial Day Holiday
Sunday,20190303,Extended Weekend,Extended Weekend,true,Extended Weekend for Peace Memorial Day Holiday
Thursday,20190404,Children's Day,National Holiday,true,
Friday,20190405,Tomb-Sweeping Day,National Holiday,true,Tomb Sweeping Day
Saturday,20190406,Extended Weekend,Extended Weekend,true,Extended Weekend for Tomb-Sweeping Day
Sunday,20190407,Extended Weekend,Extended Weekend,true,Extended Weekend for Tomb-Sweeping Day
Wednesday,20190501,Labor day,National Holiday,true,Private sector workers only
Sunday,20190512,Mother's Day,Not A Public Holiday,true,2nd Sunday in May. Not a public holiday
Friday,20190607,Dragon Boat Festival,National Holiday,true,Tuen Ng Festival
Saturday,20190608,Extended Weekend,Extended Weekend,true,Extended Weekend for Dragon Boat Festival
Sunday,20190609,Extended Weekend,Extended Weekend,true,Extended Weekend for Dragon Boat Festival
Thursday,20190808,Father's Day,Not A Public Holiday,false,Always on 8 August. Not a public holiday
Friday,20190913,Mid-Autumn Festival,National Holiday,true,
Saturday,20190914,Extended Weekend,Extended Weekend,true,Extended Weekend for Mid-Autumn Festival
Sunday,20190915,Extended Weekend,Extended Weekend,true,Extended Weekend for Mid-Autumn Festival
Saturday,20191005,Compensatory workday,Compensated,false,Makeup day for National Day Holiday (bridge day)
Monday,20191007,Double Ninth Day,Not A Public Holiday,false,Autumn Remembrance
Thursday,20191010,National Day,National Holiday,true,National Day
Friday,20191011,National Day Holiday (bridge day),National Holiday,true,Compensated by Saturday 5 October
Saturday,20191012,Extended Weekend,Extended Weekend,true,Extended Weekend for National Day Holiday (bridge day)
Sunday,20191013,Extended Weekend,Extended Weekend,true,Extended Weekend for National Day Holiday (bridge day)
Wednesday,20200101,Republic Day,National Holiday,true,
Thursday,20200123,Lunar New Year Holiday,National Holiday,true,Day before New Year's Eve
Friday,20200124,Lunar New Year's Eve,National Holiday,true,Day before 1st day of 1st lunar month
